record_id,state,sleep_stage,recording_duration_seconds,sampling_rate_hz,n_eeg_channels,file_name,dataset_version,notes
S0001,wake+sleep,mixed,81660,100,2,S0001-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0001-Hypnogram.edf
S0002,wake+sleep,mixed,84120,100,2,S0002-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0002-Hypnogram.edf
S0003,wake+sleep,mixed,79500,100,2,S0003-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0003-Hypnogram.edf
S0004,wake+sleep,mixed,84300,100,2,S0004-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0004-Hypnogram.edf
S0005,wake+sleep,mixed,84060,100,2,S0005-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0005-Hypnogram.edf
S0006,wake+sleep,mixed,84600,100,2,S0006-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0006-Hypnogram.edf
S0007,wake+sleep,mixed,84120,100,2,S0007-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0007-Hypnogram.edf
S0008,wake+sleep,mixed,77100,100,2,S0008-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0008-Hypnogram.edf
S0009,wake+sleep,mixed,84120,100,2,S0009-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0009-Hypnogram.edf
S0010,wake+sleep,mixed,81660,100,2,S0010-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0010-Hypnogram.edf
S0011,wake+sleep,mixed,83880,100,2,S0011-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0011-Hypnogram.edf
S0012,wake+sleep,mixed,84600,100,2,S0012-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0012-Hypnogram.edf
