record_id,expected_file,role,license,canonical_archive,status
S0001,public_data/S0001-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0001,public_data/S0001-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0002,public_data/S0002-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0002,public_data/S0002-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0003,public_data/S0003-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0003,public_data/S0003-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0004,public_data/S0004-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0004,public_data/S0004-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0005,public_data/S0005-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0005,public_data/S0005-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0006,public_data/S0006-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0006,public_data/S0006-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0007,public_data/S0007-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0007,public_data/S0007-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0008,public_data/S0008-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0008,public_data/S0008-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0009,public_data/S0009-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0009,public_data/S0009-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0010,public_data/S0010-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0010,public_data/S0010-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
